,loss,opt,lr,batch,tiempo
0,"[2.3058502674102783, 2.102353811264038, 1.9805505275726318, 1.8847242593765259, 1.8137245178222656]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1dfaa750>,0.001,512,47.75902962684631
1,"[2.301400899887085, 2.09332537651062, 1.9709430932998657, 1.8726667165756226, 1.7992409467697144]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1dfaa750>,0.1,512,43.19522738456726
2,"[2.304227590560913, 2.101945400238037, 1.9802476167678833, 1.8822758197784424, 1.8116909265518188]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1dfaa750>,0.01,512,42.342376947402954
3,"[2.276040554046631, 2.0500247478485107, 1.9287699460983276, 1.8554669618606567, 1.8063750267028809]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1dfaa750>,0.001,128,79.23395943641663
4,"[2.293720245361328, 2.0916314125061035, 2.0041277408599854, 1.9532636404037476, 1.9178922176361084]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1dfaa750>,0.1,64,153.6958155632019
5,"[2.2750496864318848, 2.0569496154785156, 1.9316335916519165, 1.8419805765151978, 1.7819255590438843]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1dfaa750>,0.001,256,54.278788566589355
6,"[2.300302267074585, 2.0904624462127686, 1.9707305431365967, 1.8753830194473267, 1.8025789260864258]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1dfaa750>,0.1,512,43.89492416381836
7,"[2.3805811405181885, 2.104276418685913, 2.0048680305480957, 1.9495724439620972, 1.9195680618286133]",<tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop object at 0x7efe1dfaa750>,0.01,64,204.1747817993164
8,"[2.30425763130188, 2.1564016342163086, 2.066523313522339, 1.9879134893417358, 1.9173898696899414]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7efe1dfaa410>,0.1,128,144.05311489105225
9,"[2.3116061687469482, 2.1375832557678223, 2.029094934463501, 1.9365811347961426, 1.8661749362945557]",<tensorflow.python.keras.optimizer_v2.adamax.Adamax object at 0x7efe1dfaa410>,0.001,64,163.34295678138733
